pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10
0,CON1-CON1,0.0000,0.1600,0.0800,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.0800,0.1600,0.0800,0.0800,0.0800,0.0000
1,CON1-CON2,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,CON1-CON3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,CON1-LIB1,0.0250,0.0500,0.1000,0.0750,0.0250,0.0250,0.1250,0.0500,0.0500,0.0500,0.0750,0.1250,0.1000,0.0750,0.1000,0.0250,0.0500,0.0000,0.0250
4,CON1-LIB2,0.0000,0.0583,0.0583,0.0750,0.0167,0.0417,0.0250,0.0083,0.0417,0.0250,0.0583,0.0417,0.0500,0.0000,0.0167,0.0417,0.0750,0.0250,0.0083
5,CON1-LIB3,0.0182,0.0182,0.0000,0.0000,0.0000,0.0000,0.0182,0.0182,0.0000,0.0182,0.0000,0.0000,0.0000,0.0364,0.0000,0.0000,0.0000,0.0000,0.0000
6,CON1-NEUT,0.0000,0.0444,0.0444,0.0667,0.0444,0.0000,0.0444,0.0444,0.0667,0.0222,0.0444,0.0222,0.0222,0.0444,0.0222,0.0444,0.0000,0.0000,0.0000
7,CON2-CON1,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,CON2-CON2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,CON2-CON3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,CON2-LIB1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,CON2-LIB2,0.0000,0.0000,0.1250,0.0833,0.0833,0.1667,0.0833,0.0833,0.0000,0.0833,0.2500,0.0000,0.1667,0.0833,0.0833,0.0833,0.1250,0.0833,0.1250
12,CON2-LIB3,0.0000,0.2727,0.1818,0.1818,0.1818,0.1818,0.3636,0.1818,0.1818,0.1818,0.0000,0.0000,0.1818,0.0000,0.0000,0.0909,0.0000,0.0000,0.0000
13,CON2-NEUT,0.0000,0.2222,0.2222,0.0000,0.0000,0.0000,0.2222,0.0000,0.2222,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.1111,0.1111,0.1111,0.0000
14,CON3-CON1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,CON3-CON2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,CON3-CON3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,CON3-LIB1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,CON3-LIB2,0.0000,0.0417,0.0833,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.0417,0.0000,0.0833,0.0833,0.0000,0.0000,0.0417,0.0417
19,CON3-LIB3,0.0909,0.0000,0.0909,0.0000,0.0000,0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,CON3-NEUT,0.0000,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000
21,LIB1-CON1,0.0250,0.0500,0.1000,0.0750,0.0250,0.0250,0.1250,0.0500,0.0500,0.0500,0.0750,0.1250,0.1000,0.0750,0.1000,0.0250,0.0500,0.0000,0.0250
22,LIB1-CON2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,LIB1-CON3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,LIB1-LIB1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000,0.0312,0.0625,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000
25,LIB1-LIB2,0.0052,0.0469,0.1042,0.0417,0.0521,0.0052,0.0312,0.0260,0.0260,0.0521,0.0417,0.0417,0.0677,0.0417,0.0417,0.0312,0.0260,0.0260,0.0104
26,LIB1-LIB3,0.0000,0.0455,0.0341,0.0227,0.0568,0.0227,0.0227,0.0114,0.0341,0.0341,0.0227,0.0341,0.0795,0.0341,0.0682,0.0341,0.0227,0.0000,0.0114
27,LIB1-NEUT,0.0139,0.0556,0.0833,0.0417,0.0139,0.0000,0.0278,0.0139,0.0000,0.0000,0.0000,0.0417,0.0556,0.0000,0.0000,0.0000,0.0139,0.0000,0.0000
28,LIB2-CON1,0.0000,0.0583,0.0583,0.0750,0.0167,0.0417,0.0250,0.0083,0.0417,0.0250,0.0583,0.0417,0.0500,0.0000,0.0167,0.0417,0.0750,0.0250,0.0083
29,LIB2-CON2,0.0000,0.0000,0.1250,0.0833,0.0833,0.1667,0.0833,0.0833,0.0000,0.0833,0.2500,0.0000,0.1667,0.0833,0.0833,0.0833,0.1250,0.0833,0.1250
30,LIB2-CON3,0.0000,0.0417,0.0833,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.0417,0.0000,0.0833,0.0833,0.0000,0.0000,0.0417,0.0417
31,LIB2-LIB1,0.0052,0.0469,0.1042,0.0417,0.0521,0.0052,0.0312,0.0260,0.0260,0.0521,0.0417,0.0417,0.0677,0.0417,0.0417,0.0312,0.0260,0.0260,0.0104
32,LIB2-LIB2,0.0174,0.0451,0.0417,0.0486,0.0451,0.0451,0.0521,0.0382,0.0556,0.0451,0.0764,0.0660,0.0243,0.0347,0.0347,0.0278,0.0347,0.0347,0.0417
33,LIB2-LIB3,0.0152,0.0379,0.0341,0.0530,0.0303,0.0303,0.0379,0.0417,0.0341,0.0455,0.0455,0.0379,0.0227,0.0341,0.0227,0.0227,0.0227,0.0152,0.0076
34,LIB2-NEUT,0.0000,0.0139,0.0370,0.0417,0.0278,0.0324,0.0417,0.0231,0.0278,0.0370,0.0324,0.0370,0.0231,0.0231,0.0185,0.0093,0.0000,0.0370,0.0185
35,LIB3-CON1,0.0182,0.0182,0.0000,0.0000,0.0000,0.0000,0.0182,0.0182,0.0000,0.0182,0.0000,0.0000,0.0000,0.0364,0.0000,0.0000,0.0000,0.0000,0.0000
36,LIB3-CON2,0.0000,0.2727,0.1818,0.1818,0.1818,0.1818,0.3636,0.1818,0.1818,0.1818,0.0000,0.0000,0.1818,0.0000,0.0000,0.0909,0.0000,0.0000,0.0000
